experiment,page,sound,metric,score,subjective_median,fitted_score
quality,vocals-10-SIR,KAM1,SAR,0.8279962818334695,0.0,1.3308336503760625
quality,vocals-10-SIR,KON,SAR,7.808930587472358,26.0,46.35908571871598
quality,vocals-10-SIR,NUG2,SAR,8.796480620770105,39.0,52.72895683947834
quality,vocals-10-SIR,RAF2,SAR,7.475476319254148,63.04347826086956,44.20824713677072
quality,vocals-11-SAR,GRA3,SAR,5.731828097182909,49.0,47.06447608892857
quality,vocals-11-SAR,HUA,SAR,8.063012296658561,49.0,59.179592314702
quality,vocals-11-SAR,KAM1,SAR,-1.473131490153834,0.0,9.62044964853881
quality,vocals-11-SAR,RAF2,SAR,2.7867355094966846,61.0,31.75889062575159
quality,vocals-11-SAR,STO1,SAR,2.168957008848794,17.171717171717173,28.548308493796206
quality,vocals-12-SAR,DUR,SAR,5.3096698203103365,18.0,26.810347871014734
quality,vocals-12-SAR,GRA2,SAR,3.25321302251073,1.5,15.134202948949703
quality,vocals-12-SAR,GRA3,SAR,7.150309965779983,51.844086021505376,37.26112958005443
quality,vocals-12-SAR,KAM2,SAR,3.2463080909482214,8.5,15.094998146939247
quality,vocals-12-SAR,KON,SAR,0.5721778377602866,14.368421052631579,-0.08817147282117332
quality,vocals-18-SIR,GRA3,SAR,6.971333092133659,27.125,32.819904479800115
quality,vocals-18-SIR,HUA,SAR,7.923574082441157,48.36363636363636,41.22707142156045
quality,vocals-18-SIR,NUG1,SAR,6.630794525485352,24.621212121212118,29.813349827079715
quality,vocals-18-SIR,OZE,SAR,4.990801314562162,19.981060606060606,15.33414041693609
quality,vocals-18-SIR,UHL1,SAR,6.257935429121555,25.625,26.52144294553276
quality,vocals-19-SIR,GRA3,SAR,7.784532695111586,36.95652173913044,35.4988817898577
quality,vocals-19-SIR,HUA,SAR,8.625968566738061,59.78260869565217,38.512143121351855
quality,vocals-19-SIR,KAM1,SAR,3.7221289288440977,3.0,20.951030201181887
quality,vocals-19-SIR,KAM2,SAR,4.970691463343226,10.227272727272727,25.422250566301607
quality,vocals-19-SIR,KON,SAR,-5.037464859963663,0.0,-10.417902516637708
quality,vocals-20-SAR,CHA,SAR,8.455892742140755,66.66666666666667,56.55020208972763
quality,vocals-20-SAR,DUR,SAR,9.119160415189157,47.95918367346939,61.74561874530537
quality,vocals-20-SAR,HUA,SAR,10.112796747171107,74.0,69.52883351444953
quality,vocals-20-SAR,KAM2,SAR,5.8252580891980985,35.0,35.94427834882958
quality,vocals-20-SAR,KON,SAR,3.226399020277444,15.730337078651687,15.587254720475645
quality,vocals-24-SAR,GRA3,SAR,8.227645415621971,43.0,55.57471116053689
quality,vocals-24-SAR,HUA,SAR,9.463579304683151,73.5632183908046,67.85553751716354
quality,vocals-24-SAR,KAM1,SAR,4.429421912510229,17.708333333333332,17.833757766334323
quality,vocals-24-SAR,RAF2,SAR,6.249700529114637,65.0,35.92091097821033
quality,vocals-24-SAR,STO2,SAR,5.964460880453184,11.0,33.086634301892815
quality,vocals-25-SAR,GRA2,SAR,5.6024542407823645,3.0,34.396720409327486
quality,vocals-25-SAR,HUA,SAR,7.629674653322544,73.94733855408012,74.69856370801972
quality,vocals-25-SAR,KON,SAR,5.389304206055472,23.0,30.159223960724745
quality,vocals-25-SAR,RAF1,SAR,5.8760735938606174,85.0,39.836367831499814
quality,vocals-25-SAR,RAF3,SAR,7.713068520473215,70.5,76.35646264450827
quality,vocals-26-SIR,HUA,SAR,8.909947073639765,76.13636363636364,57.73066519525952
quality,vocals-26-SIR,JEO1,SAR,7.355380264807294,29.0,50.19374778507451
quality,vocals-26-SIR,KAM1,SAR,6.088128770835422,22.0,44.04980479482579
quality,vocals-26-SIR,KON,SAR,-3.202022593331616,6.0,-0.9911050985426222
quality,vocals-26-SIR,RAF1,SAR,8.322076045200644,72.72727272727273,54.88052368701916
quality,vocals-30-SIR,CHA,SAR,11.206827201862547,58.0,57.43370009555255
quality,vocals-30-SIR,HUA,SAR,10.54184563749672,72.0,61.46325110742476
quality,vocals-30-SIR,JEO2,SAR,11.3146311479767,25.373134328358212,56.78044664699661
quality,vocals-30-SIR,NUG3,SAR,12.582904489984331,47.61904761904761,49.095162719627595
quality,vocals-30-SIR,RAF1,SAR,11.777240813433304,75.75757575757575,53.97719713538005
quality,vocals-41-SIR,DUR,SAR,8.443675135865432,28.5,59.91468522828875
quality,vocals-41-SIR,HUA,SAR,7.988313463435952,83.74746054070948,66.0242416133419
quality,vocals-41-SIR,NUG1,SAR,9.775810614062472,26.424050632911396,42.04151471494262
quality,vocals-41-SIR,RAF3,SAR,9.003968355168071,71.5,52.39726946242287
quality,vocals-41-SIR,UHL1,SAR,10.224153911480055,46.23232323232323,36.026123386948086
quality,vocals-42-SAR,CHA,SAR,6.2488584941402605,43.84042553191489,31.56024091136527
quality,vocals-42-SAR,KAM2,SAR,6.329968344747656,11.851063829787233,32.00850389695716
quality,vocals-42-SAR,KON,SAR,2.920718154085905,19.270114942528735,13.166887772017628
quality,vocals-42-SAR,NUG3,SAR,9.067729991203626,39.0,47.13906079342627
quality,vocals-42-SAR,UHL3,SAR,10.777248148640604,66.5,56.58691093046456
quality,vocals-45-SIR,HUA,SAR,9.181578031099708,60.98550724637681,57.392531381025286
quality,vocals-45-SIR,KAM2,SAR,3.7032684501352326,15.142857142857142,17.621755883751277
quality,vocals-45-SIR,RAF2,SAR,6.261129450262537,61.3080808080808,36.19100869537975
quality,vocals-45-SIR,STO1,SAR,6.904255725167174,14.642857142857142,40.85989976800282
quality,vocals-45-SIR,UHL1,SAR,4.3408042186865865,22.235955056179776,22.25006166819255
quality,vocals-47-SAR,GRA3,SAR,6.92088363653329,51.0,48.762327320740184
quality,vocals-47-SAR,KAM1,SAR,2.444005557231925,8.0,18.288155111707024
quality,vocals-47-SAR,OZE,SAR,2.62272523755326,29.0,19.50470249557182
quality,vocals-47-SAR,RAF1,SAR,5.41377195532979,58.8780487804878,38.503396856766464
quality,vocals-47-SAR,STO1,SAR,5.7540195447968046,19.0,40.81946699570228
quality,vocals-48-SAR,HUA,SAR,9.183640210162906,67.3913043478261,64.90507876240869
quality,vocals-48-SAR,JEO1,SAR,6.161251471812119,31.0,41.59222809654491
quality,vocals-48-SAR,KAM2,SAR,3.3920202224745446,18.0,20.232078835838724
quality,vocals-48-SAR,NUG3,SAR,0.19077770090375706,0.0,-4.460340078915451
quality,vocals-48-SAR,RAF3,SAR,8.361903080492166,64.44444444444444,58.566703176393624
quality,vocals-49-SIR,HUA,SAR,9.171630206922638,52.5,43.68441289655635
quality,vocals-49-SIR,JEO2,SAR,10.028172420385829,56.651162790697676,54.63655095596043
