experiment,page,sound,metric,score,subjective_median,ci95_lo,ci95_hi,fitted_score
quality,vocals-45-SIR,RAF2,APS,51.80854684944492,61.3080808080808,55.0,74.48979591836735,60.541793321245024
quality,vocals-45-SIR,STO1,APS,20.89773084549764,14.642857142857142,11.0,25.77319587628866,21.770213918219824
quality,vocals-45-SIR,UHL1,APS,35.155464391484266,22.235955056179776,17.0,32.98969072164948,39.6537550131817
quality,vocals-47-SAR,GRA3,APS,38.74214885315753,51.0,39.0,53.972527472527474,44.152549913374685
quality,vocals-47-SAR,KAM1,APS,20.521975550650765,8.0,4.561855670103093,12.043956043956044,21.298902314915583
quality,vocals-47-SAR,OZE,APS,25.840834304087075,29.0,17.4694587628866,36.0,27.97037143646829
quality,vocals-47-SAR,RAF1,APS,46.88234410899235,58.8780487804878,51.5,63.02173913043478,54.3628344518814
quality,vocals-47-SAR,STO1,APS,31.080568228890492,19.0,11.5,26.53846153846154,34.54259391970193
quality,vocals-48-SAR,HUA,APS,53.25595433410022,67.3913043478261,54.73684210526316,74.0,62.35728322007783
quality,vocals-48-SAR,JEO1,APS,38.162867240780976,31.0,20.2020202020202,35.0,43.42595430916605
quality,vocals-48-SAR,KAM2,APS,21.81490125999686,18.0,10.0,21.59090909090909,22.920625008865926
quality,vocals-48-SAR,NUG3,APS,0.3522826714791642,0.0,0.0,0.0,-4.000036700462458
quality,vocals-48-SAR,RAF3,APS,56.84143044409032,64.44444444444444,46.73913043478261,77.0,66.85456247916886
quality,vocals-49-SIR,HUA,APS,41.12405318571106,52.5,47.0,63.22292490118576,47.14018352835968
quality,vocals-49-SIR,JEO2,APS,43.2595947354876,56.651162790697676,48.77561064973132,66.0,49.81880316606343
quality,vocals-49-SIR,KAM1,APS,23.32228478062761,16.354166666666664,10.0,24.0,24.811343126869787
quality,vocals-49-SIR,NUG2,APS,19.111348338647453,20.826086956521742,14.065656565656568,31.51249999999999,19.52954608209176
quality,vocals-49-SIR,STO2,APS,22.75491680716053,13.021739130434781,9.375,15.662650602409636,24.099690855017652
interferer,vocals-10-SIR,HUA,IPS,33.248124619487896,18.5,11.878048780487806,22.606060606060606,22.588333035690994
interferer,vocals-10-SIR,KAM1,IPS,71.65556883502555,89.56639566395665,86.0,97.0,69.25155321562157
interferer,vocals-10-SIR,KON,IPS,26.55120775594088,30.0,21.0,39.196969696969695,14.451897182873601
interferer,vocals-10-SIR,NUG2,IPS,47.26212433559528,60.5,57.534246575342465,73.0,39.61467695705127
interferer,vocals-10-SIR,RAF2,IPS,44.20093520424585,24.195121951219512,18.0,30.303030303030305,35.895477583957316
interferer,vocals-11-SAR,GRA3,IPS,29.7524556655368,32.87671232876713,29.0,36.0,18.341261318058237
