experiment,page,sound,metric,score,subjective_median,ci95_lo,ci95_hi,fitted_score
interferer,vocals-12-SAR,GRA3,IPS,41.63417860049811,24.0,14.606741573033707,27.0,32.69064944438945
interferer,vocals-12-SAR,KAM2,IPS,77.57851550440479,75.25,59.0,90.0,75.67350792942258
interferer,vocals-12-SAR,KON,IPS,50.866609123547114,31.0,27.58620689655172,37.373737373737384,43.730949219734164
interferer,vocals-18-SIR,GRA3,IPS,50.41237697237359,39.871794871794876,36.5,46.07792207792208,43.187770573110654
interferer,vocals-18-SIR,HUA,IPS,38.38531295993554,12.5,11.0,16.192307692307693,28.805599834529772
interferer,vocals-18-SIR,NUG1,IPS,66.19646257162562,93.0,89.63034601332474,97.5,62.062652573077685
interferer,vocals-18-SIR,OZE,IPS,51.962909943991136,23.5,19.01624945103206,28.141414141414142,45.04192466346393
interferer,vocals-18-SIR,UHL1,IPS,55.14378279649607,65.5,60.0,76.81159420289855,48.84566732377833
interferer,vocals-19-SIR,GRA3,IPS,30.287731770083603,23.111111111111107,18.0,33.333333333333336,19.122372479829487
interferer,vocals-19-SIR,HUA,IPS,18.35082957933972,9.55050505050505,6.979166666666668,13.0,4.848018803863887
interferer,vocals-19-SIR,KAM1,IPS,71.1806478690834,87.9761904761905,78.35051546391753,95.95959595959594,68.02282738104657
interferer,vocals-19-SIR,KAM2,IPS,61.7419948248997,60.51989801574104,53.26262626262627,75.55555555555556,56.73592315543597
interferer,vocals-19-SIR,KON,IPS,34.80197589073924,50.252525252525245,31.11111111111111,64.64646464646465,24.520583517183333
interferer,vocals-20-SAR,CHA,IPS,33.49499812162098,23.91803675048356,13.265306122448981,30.851063829787236,22.957676941850494
interferer,vocals-20-SAR,DUR,IPS,46.811206711299455,56.75531914893617,48.5,67.0,38.88142901710782
interferer,vocals-20-SAR,HUA,IPS,32.374027430845054,9.0,5.0,12.5,21.617200841364834
interferer,vocals-20-SAR,KAM2,IPS,56.78605394029562,30.651515151515152,21.0,41.37234042553192,50.80952350386876
interferer,vocals-20-SAR,KON,IPS,46.09540791834482,35.0,28.794117647058822,51.586956521739125,38.02546446548515
interferer,vocals-24-SAR,GRA3,IPS,40.99365476984129,28.029411764705884,18.833333333333336,36.0,31.92469999196205
interferer,vocals-24-SAR,HUA,IPS,43.320932256342466,10.391304347826086,5.0,16.81746031746032,34.70769858017112
interferer,vocals-24-SAR,KAM1,IPS,70.0169410930815,73.86128364389234,64.89345238095238,80.5,66.63124673220373
interferer,vocals-24-SAR,RAF2,IPS,27.10880416658875,17.590909090909093,10.0,20.0,15.320955981857203
interferer,vocals-24-SAR,STO2,IPS,62.511387990867384,55.15010351966874,47.5,69.6969696969697,57.655976783370505
interferer,vocals-25-SAR,GRA2,IPS,79.44003213158352,92.5,86.31632653061223,97.67848837209296,77.899541642813
interferer,vocals-25-SAR,HUA,IPS,36.1906467529929,10.0,5.0,13.953488372093025,26.181180103346826
interferer,vocals-25-SAR,KON,IPS,49.4152702634799,38.875,26.0,45.45454545454545,41.99541316010753
interferer,vocals-25-SAR,RAF1,IPS,17.957854176024636,13.226744186046513,7.0,19.0,4.378092033648375
interferer,vocals-25-SAR,RAF3,IPS,15.999001709962835,15.0,7.0,23.337662337662337,2.035662444061444
interferer,vocals-26-SIR,HUA,IPS,38.62253699020144,8.0,7.0,12.055555555555554,29.089276424514665
interferer,vocals-26-SIR,JEO1,IPS,63.53511878814418,57.75,48.5,63.63636363636363,58.88017174080582
interferer,vocals-26-SIR,KAM1,IPS,71.12681415511912,50.0,45.0,66.0,67.95845209669409
interferer,vocals-26-SIR,KON,IPS,66.68881623136431,44.711420885302026,36.0,50.0,62.651417577637744
interferer,vocals-26-SIR,RAF1,IPS,43.17846482649243,17.0,14.0,24.5,34.53733356850485
interferer,vocals-30-SIR,CHA,IPS,64.04871495928091,34.07569103590804,25.264705882352942,46.35642135642136,59.494338907150905
interferer,vocals-30-SIR,HUA,IPS,67.15813297232121,13.493506493506494,7.0,18.663265306122447,63.212634637090986
interferer,vocals-30-SIR,JEO2,IPS,69.37259965469238,68.30232558139535,53.0,79.1764705882353,65.86073211855643
interferer,vocals-30-SIR,NUG3,IPS,67.91912969117296,76.70224719101125,71.0,83.0,64.12264764863785
interferer,vocals-30-SIR,RAF1,IPS,61.53363734541645,15.5,13.5,22.0,56.48676568512656
interferer,vocals-41-SIR,DUR,IPS,49.38728840411329,37.0,32.0,47.72727272727273,41.96195196969753
interferer,vocals-41-SIR,HUA,IPS,28.90986949062797,10.613636363636363,4.040404040404041,12.280701754385964,17.47470098353685
interferer,vocals-41-SIR,NUG1,IPS,61.45619265689705,61.0,50.0,72.09302325581395,56.394155989865084
interferer,vocals-41-SIR,RAF3,IPS,15.41808708510077,18.526315789473685,11.363636363636365,23.255813953488367,1.3409947088049776
interferer,vocals-41-SIR,UHL1,IPS,56.80798918888289,58.73255813953489,49.0,67.36842105263158,50.835754052741635
interferer,vocals-42-SAR,CHA,IPS,44.46443234067587,25.290697674418603,22.0,35.164835164835175,36.07511571834022
interferer,vocals-42-SAR,KAM2,IPS,62.35541282274357,66.16666666666666,58.0,76.0,57.46945898512685
interferer,vocals-42-SAR,KON,IPS,42.48816184244824,36.5,25.77319587628866,48.48484848484848,33.711857345246365
interferer,vocals-42-SAR,NUG3,IPS,70.72941432870363,85.53731343283582,81.0,91.75257731958763,67.48323452496759
interferer,vocals-42-SAR,UHL3,IPS,54.99219698469454,68.21338383838383,59.0,77.0,48.664398393587106
interferer,vocals-45-SIR,HUA,IPS,35.16252991147961,16.5,11.594202898550725,21.0,24.95174023850842
interferer,vocals-45-SIR,KAM2,IPS,66.78329699376593,75.5,62.31884057971015,82.0,62.764399304097836
interferer,vocals-45-SIR,RAF2,IPS,28.171601715176568,24.0,15.492957746478874,28.98550724637681,16.59186763481985
interferer,vocals-45-SIR,STO1,IPS,62.55212734422272,50.5,40.57971014492754,66.66666666666667,57.70469360529229
interferer,vocals-45-SIR,UHL1,IPS,56.554530187796495,53.0,46.0,67.0,50.53266340442673
interferer,vocals-47-SAR,GRA3,IPS,27.72586237224377,28.351940457203618,23.0,40.21739130434783,16.05884483488027
interferer,vocals-47-SAR,KAM1,IPS,51.63157695754956,67.1086956521739,51.0,74.0,44.64571095932146
interferer,vocals-47-SAR,OZE,IPS,25.7571948852883,11.75,4.0,15.0,13.70467827389703
interferer,vocals-47-SAR,RAF1,IPS,31.674893317758464,24.0,20.0,32.0,20.78116420156821
interferer,vocals-47-SAR,STO1,IPS,55.94761272623799,43.027777777777786,38.0,51.16279069767442,49.806901028228054
interferer,vocals-48-SAR,HUA,IPS,25.40579821471354,12.321839080459771,9.5,20.0,13.284472069959932
interferer,vocals-48-SAR,JEO1,IPS,50.618394098984034,43.611111111111114,36.0,57.382352941176464,43.434129409059224
interferer,vocals-48-SAR,KAM2,IPS,54.97202793391141,37.0,34.44444444444444,52.52525252525253,48.640279894533805
interferer,vocals-48-SAR,NUG3,IPS,64.902488475902,61.83333333333333,47.5,77.0,60.51529601483939
interferer,vocals-48-SAR,RAF3,IPS,26.58543072815607,22.0,15.0,31.0,14.695096990519627
interferer,vocals-49-SIR,HUA,IPS,35.07196970217928,18.333333333333336,11.904761904761903,22.222222222222218,24.84344677711735
interferer,vocals-49-SIR,JEO2,IPS,40.66006787310464,34.64285714285714,29.0,42.0,31.525791022985224
interferer,vocals-49-SIR,KAM1,IPS,70.31879453034,83.06502525252526,80.0,88.0,66.99220828260287
interferer,vocals-49-SIR,NUG2,IPS,69.67035515378771,75.69699192956713,72.34042553191489,86.0,66.2167932837678
interferer,vocals-49-SIR,STO2,IPS,59.47525127935626,48.23737373737373,40.4040404040404,57.4712643678161,54.02531209866707
quality,vocals-10-SIR,HUA,ISR,12.137072136999835,67.02272727272728,50.0,74.15730337078651,40.84002995839685
quality,vocals-10-SIR,KAM1,ISR,6.859448026636593,0.5,0.0,8.0,35.09214717044935
